,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644006638.4206047,0.04122567176818848,49.58,30.0,24.89,24.5,26.75,37.0,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
1,1644006638.5663097,0.16722893714904785,49.66,30.0,24.9,24.25,27.75,36.5,50.0,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
2,1644006638.7382352,0.2760660648345947,49.59,30.0,24.87,24.75,27.25,37.25,50.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
3,1644006638.9112034,0.49408388137817383,49.38,30.0,24.96,24.75,27.0,36.75,50.0,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
4,1644006639.0864255,0.712033748626709,49.59,30.0,24.93,24.75,27.0,36.25,50.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
5,1644006639.251643,0.8357934951782227,49.57,30.0,24.9,24.75,27.0,37.0,51.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
6,1644006639.4082973,0.9461648464202881,49.76,30.0,24.9,24.0,27.25,37.25,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
7,1644006639.5874648,1.1656501293182373,49.59,30.0,24.92,24.75,26.75,36.75,50.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
8,1644006639.752862,1.384434461593628,49.59,30.0,24.85,24.25,27.25,36.0,50.0,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
9,1644006639.9132771,1.495192050933838,49.66,30.0,24.93,24.5,27.0,36.5,50.25,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
10,1644006640.0886557,1.7152769565582275,49.38,30.0,24.88,25.0,26.75,36.75,50.0,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
11,1644006640.255079,1.839224100112915,49.48,30.0,24.86,24.5,27.5,36.75,50.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
12,1644006640.4278862,2.0594587326049805,49.54,30.0,24.88,24.0,27.0,36.75,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
13,1644006640.6043725,2.1689162254333496,49.53,30.0,24.92,24.0,27.25,36.5,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
14,1644006640.7567873,2.388359785079956,49.6,30.0,24.92,24.25,26.5,37.25,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
15,1644006640.9301753,2.498636484146118,49.45,30.0,24.83,24.25,26.75,37.0,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
16,1644006641.107333,2.7157254219055176,49.59,30.0,24.88,24.25,27.25,37.5,50.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
17,1644006641.2705302,2.825223922729492,49.55,30.0,24.86,24.0,27.5,36.5,50.5,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
18,1644006641.425214,3.041320562362671,49.77,30.0,24.92,24.5,27.25,36.75,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
19,1644006641.5974612,3.150813102722168,49.63,30.0,24.94,24.5,27.0,36.75,49.5,-44.140625,6.25,5.5664062,5.6640625,0.0,0.0
20,1644006641.773102,3.3688881397247314,49.62,30.0,24.86,24.0,27.0,36.0,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
21,1644006641.9405587,3.479027271270752,49.44,30.0,24.96,24.5,27.75,36.5,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
22,1644006642.100801,3.698042869567871,49.75,30.0,24.86,24.75,27.0,36.75,49.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
23,1644006642.2688103,3.808372974395752,49.49,30.0,24.95,24.75,26.75,36.25,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
24,1644006642.4415805,4.023269414901733,49.4,30.0,24.88,25.0,26.75,37.0,50.75,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
25,1644006642.609828,4.241400480270386,49.62,30.0,24.89,25.0,27.25,36.5,49.5,-44.140625,6.1523437,5.5664062,5.6640625,0.0,0.0
26,1644006642.7819672,4.349880933761597,49.55,30.0,24.92,25.0,28.25,36.25,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
27,1644006642.9581368,4.56975531578064,49.56,30.0,24.92,24.75,27.25,37.0,49.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
28,1644006643.111072,4.678884029388428,49.57,30.0,24.93,24.0,27.5,36.25,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
29,1644006643.2872872,4.898953199386597,49.5,30.0,24.87,24.5,27.75,36.75,50.25,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
30,1644006643.461087,5.0094335079193115,49.58,30.0,24.92,24.5,27.75,36.5,50.5,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
31,1644006643.6123996,5.2288429737091064,49.56,30.0,24.83,24.0,27.25,36.5,50.0,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
32,1644006643.7827096,5.336939334869385,49.61,30.0,24.94,25.0,27.25,36.75,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
33,1644006643.9542177,5.554045915603638,49.56,30.0,24.9,24.75,27.5,36.5,49.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
34,1644006644.1301131,5.66299843788147,49.72,30.0,24.82,24.75,27.0,36.75,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
35,1644006644.2971609,5.882172107696533,49.52,30.0,24.89,24.25,27.75,36.5,49.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
36,1644006644.4529638,5.991582870483398,49.67,30.0,24.85,24.75,27.25,36.5,50.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
37,1644006644.622972,6.208241939544678,49.72,30.0,24.91,24.25,27.0,36.75,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
38,1644006644.7997842,6.426403999328613,49.69,30.0,24.86,24.5,27.75,36.5,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
39,1644006644.9675696,6.53725790977478,49.38,30.0,24.87,24.5,28.25,36.75,49.5,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
40,1644006645.1400478,6.7558770179748535,49.68,30.0,24.92,25.0,27.0,36.25,50.0,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
41,1644006645.3006544,6.864792585372925,49.58,30.0,24.9,24.5,27.5,37.25,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
42,1644006645.4684253,7.083571910858154,49.48,30.0,24.87,24.0,26.75,36.5,49.5,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
43,1644006645.637618,7.191033840179443,49.49,30.0,24.88,24.5,27.25,36.5,50.25,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
44,1644006645.8148773,7.410022258758545,49.52,30.0,24.95,24.5,28.0,36.25,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
45,1644006645.9677818,7.520111322402954,49.76,30.0,24.86,24.5,27.0,37.0,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
46,1644006646.1420698,7.741002559661865,49.34,30.0,24.88,24.25,27.25,36.75,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
47,1644006646.3168929,7.850934267044067,49.7,30.0,24.87,25.0,27.0,36.75,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
48,1644006646.4711292,8.070949792861938,49.45,30.0,24.87,24.5,27.0,36.25,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
49,1644006646.6430357,8.181029319763184,49.69,30.0,24.95,24.25,28.25,36.75,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
